NASDAQ:AAL|American Airlines Group Inc.
NASDAQ:AAOI|Applied Optoelectronics, Inc.
NASDAQ:AAON|AAON, Inc.
NYSE:AAP|Advance Auto Parts, Inc.
NYSE:AAUC|Allied Gold Corporation
NYSE:AB|AllianceBernstein Holding L.P.
NYSE:ABCB|Ameris Bancorp
NYSE:ABM|ABM Industries Incorporated
NASDAQ:ACAD|ACADIA Pharmaceuticals Inc.
NYSE:ACHR|Archer Aviation Inc.
NYSE:ACI|Albertsons Companies, Inc.
NASDAQ:ACIW|ACI Worldwide, Inc.
NASDAQ:ACLS|Axcelis Technologies, Inc.
NASDAQ:ACLX|Arcellx Inc
NASDAQ:ACMR|ACM Research, Inc.
NASDAQ:ACT|Enact Holdings, Inc.
NYSE:AD|Array Digital Infrastructure, Inc.
NYSE:ADC|Agree Realty Corporation
NASDAQ:ADEA|Adeia Inc.
NASDAQ:ADMA|ADMA Biologics, Inc.
NASDAQ:ADPT|Adaptive Biotechnologies Corporation
NYSE:ADT|ADT Inc.
NYSE:ADX|Adams Diversified Equity Fund, Inc.
NYSE:AEO|American Eagle Outfitters, Inc.
NYSE:AERO|Grupo Aeromexico, S.A.B. de C.V
NYSE:AGCO|AGCO Corporation
NYSE:AGX|Argan, Inc.
NASDAQ:AGYS|Agilysys, Inc.
NYSE:AHR|American Healthcare REIT, Inc.
NYSE:AIR|AAR Corp.
NYSE:AKR|Acadia Realty Trust
NYSE:AL|Air Lease Corp
NASDAQ:ALGM|Allegro MicroSystems, Inc.
NYSE:ALH|Alliance Laundry Holdings Inc.
NASDAQ:ALHC|Alignment Healthcare, Inc.
NYSE:ALK|Alaska Air Group, Inc.
NASDAQ:ALKS|Alkermes plc
NASDAQ:ALM|Almonty Industries Inc.
NASDAQ:ALMS|Alumis Inc.
NASDAQ:ALRM|Alarm.com Holdings, Inc.
NYSE:ALSN|Allison Transmission Holdings, Inc.
NYSE:ALV|Autoliv, Inc.
NASDAQ:AMBA|Ambarella, Inc.
NYSE:AMBP|Ardagh Metal Packaging S.A.
NYSE:AMG|Affiliated Managers Group, Inc.
NASDAQ:AMRX|Amneal Pharmaceuticals, Inc.
NYSE:AMTM|Amentum Holdings, Inc.
NYSE:AN|AutoNation, Inc.
NYSE:ANDG|Andersen Group Inc.
NYSE:ANF|Abercrombie & Fitch Co.
NYSE:APAM|Artisan Partners Asset Management Inc.
NASDAQ:APGE|Apogee Therapeutics, Inc.
NASDAQ:APLD|Applied Digital Corporation
NYSE:APLE|Apple Hospitality REIT, Inc.
NASDAQ:APLS|Apellis Pharmaceuticals, Inc.
NASDAQ:APPF|AppFolio, Inc.
NYSE:AQN|Algonquin Power & Utilities Corp.
NASDAQ:ARCB|ArcBest Corporation
NYSE:ARE|Alexandria Real Estate Equities, Inc.
NYSE:ARIS|Aris Mining Corporation
NASDAQ:ARLP|Alliance Resource Partners, L.P.
NYSE:AROC|Archrock, Inc.
NASDAQ:ARQT|Arcutis Biotherapeutics, Inc.
NYSE:ARR|ARMOUR Residential REIT, Inc.
NYSE:ARW|Arrow Electronics, Inc.
NASDAQ:ARWR|Arrowhead Pharmaceuticals, Inc.
NYSE:ARX|Accelerant Holdings
NYSE:ASB|Associated Banc-Corp
NYSE:ASH|Ashland Inc.
NASDAQ:ASO|Academy Sports and Outdoors, Inc.
NASDAQ:ATAT|Atour Lifestyle Holdings Limited
NYSE:ATGE|Adtalem Global Education Inc.
NYSE:ATHM|Autohome Inc.
NYSE:ATKR|Atkore Inc.
NYSE:ATMU|Atmus Filtration Technologies Inc.
NYSE:ATR|AptarGroup, Inc.
NASDAQ:ATRO|Astronics Corporation
NYSE:AUB|Atlantic Union Bankshares Corporation
NASDAQ:AUGO|Aura Minerals Inc.
NASDAQ:AUR|Aurora Innovation, Inc.
NYSE:AVA|Avista Corporation
NYSE:AVNT|Avient Corporation
NASDAQ:AVPT|AvePoint, Inc.
NASDAQ:AVT|Avnet, Inc.
NYSE:AVTR|Avantor, Inc.
NYSE:AWI|Armstrong World Industries, Inc.
NYSE:AX|Axos Financial, Inc.
NYSE:AXS|AXIS Capital Holdings Limited
NASDAQ:AXSM|Axsome Therapeutics, Inc.
NYSE:AXTA|Axalta Coating Systems Ltd.
NYSE:AYI|Acuity Inc.
NYSE:BAH|Booz Allen Hamilton Holding Corporation
NYSE:BANC|Banc of California, Inc.
NASDAQ:BATRK|Atlanta Braves Holdings, Inc.
NYSE:BB|BlackBerry Limited
NYSE:BBAR|Banco BBVA Argentina S.A.
NYSE:BBT|Beacon Financial Corporation
NYSE:BBWI|Bath & Body Works, Inc.
NYSE:BC|Brunswick Corporation
NYSE:BCC|Boise Cascade Company
NASDAQ:BEAM|Beam Therapeutics Inc.
NYSE:BEP|Brookfield Renewable Partners L.P.
NYSE:BEPC|Brookfield Renewable Corporation
NYSE:BETA|BETA Technologies, Inc.
NYSE:BFAM|Bright Horizons Family Solutions Inc.
NYSE:BFH|Bread Financial Holdings, Inc.
NASDAQ:BGC|BGC Group, Inc.
NYSE:BHC|Bausch Health Companies Inc.
NASDAQ:BHF|Brighthouse Financial, Inc.
NYSE:BILL|BILL Holdings, Inc.
NYSE:BIPC|Brookfield Infrastructure Corporation
NYSE:BIRK|Birkenstock Holding plc
NYSE:BKD|Brookdale Senior Living Inc.
NYSE:BKE|The Buckle, Inc.
NYSE:BKH|Black Hills Corporation
NYSE:BKU|BankUnited, Inc.
NYSE:BKV|BKV Corporation
NASDAQ:BL|BlackLine, Inc.
NYSE:BLCO|Bausch + Lomb Corporation
NASDAQ:BLKB|Blackbaud, Inc.
NYSE:BLSH|Bullish
NYSE:BMI|Badger Meter, Inc.
AMEX:BMNR|Bitmine Immersion Technologies, Inc.
NYSE:BNL|Broadstone Net Lease, Inc.
NYSE:BOH|Bank of Hawaii Corporation
NASDAQ:BOKF|BOK Financial Corporation
NYSE:BOOT|Boot Barn Holdings, Inc.
NYSE:BOX|Box, Inc.
NASDAQ:BPOP|Popular, Inc.
NYSE:BRBR|BellRing Brands, Inc.
NASDAQ:BRKR|Bruker Corporation
NYSE:BROS|Dutch Bros Inc.
NYSE:BRSL|Brightstar Lottery PLC
NYSE:BRX|Brixmor Property Group Inc.
NYSE:BSM|Black Stone Minerals, L.P.
NYSE:BTE|Baytex Energy Corp.
AMEX:BTG|B2Gold Corp.
NASDAQ:BTSG|BrightSpring Health Services, Inc.
NYSE:BTU|Peabody Energy Corporation
NASDAQ:BULL|Webull Corporation
NYSE:BUR|Burford Capital Limited
NASDAQ:BUSE|First Busey Corporation
NYSE:BVN|Compañía de Minas Buenaventura S.A.A.
NASDAQ:BWIN|The Baldwin Insurance Group, Inc.
NYSE:BWLP|BW LPG Limited
NYSE:BXMT|Blackstone Mortgage Trust, Inc.
NYSE:BXP|BXP, Inc.
NYSE:BXSL|Blackstone Secured Lending Fund
NYSE:BYD|Boyd Gaming Corporation
NASDAQ:BZ|Kanzhun Limited
NYSE:CAE|CAE Inc.
NYSE:CAG|Conagra Brands, Inc.
NASDAQ:CAI|Caris Life Sciences, Inc.
NASDAQ:CAKE|The Cheesecake Factory Incorporated
NASDAQ:CALM|Cal-Maine Foods, Inc.
NYSE:CALX|Calix, Inc.
NYSE:CALY|Callaway Golf Company
NASDAQ:CAMT|Camtek Ltd.
NASDAQ:CAR|Avis Budget Group, Inc.
NASDAQ:CARG|CarGurus, Inc.
NASDAQ:CART|Maplebear Inc.
NASDAQ:CATY|Cathay General Bancorp
NYSE:CAVA|CAVA Group, Inc.
NASDAQ:CBSH|Commerce Bancshares, Inc.
NYSE:CBT|Cabot Corporation
NYSE:CC|The Chemours Company
NASDAQ:CCC|CCC Intelligent Solutions Holdings Inc.
NYSE:CCS|Century Communities, Inc.
NYSE:CDP|COPT Defense Properties
NYSE:CE|Celanese Corporation
NASDAQ:CELC|Celcuity Inc.
NASDAQ:CENX|Century Aluminum Company
NYSE:CEPU|Central Puerto S.A.
NYSE:CFR|Cullen/Frost Bankers, Inc.
NYSE:CGAU|Centerra Gold Inc.
NASDAQ:CGNX|Cognex Corporation
NASDAQ:CGON|CG Oncology, Inc.
NASDAQ:CHDN|Churchill Downs Incorporated
NASDAQ:CHEF|The Chefs' Warehouse, Inc.
NYSE:CHH|Choice Hotels International, Inc.
NASDAQ:CHRD|Chord Energy Corporation
NASDAQ:CHYM|Chime Financial, Inc.
NASDAQ:CIFR|Cipher Digital Inc.
NYSE:CIG|Companhia Energética de Minas Gerais - CEMIG
NASDAQ:CIGI|Colliers International Group Inc.
NASDAQ:CLBT|Cellebrite DI Ltd.
NYSE:CLF|Cleveland-Cliffs Inc.
AMEX:CLM|Cornerstone Strategic Investment Fund, Inc.
NASDAQ:CLMT|Calumet, Inc.
NASDAQ:CLSK|CleanSpark, Inc.
NYSE:CMBT|Cmb.Tech NV
NYSE:CMC|Commercial Metals Company
NYSE:CMRE|Costamare Inc.
NYSE:CNK|Cinemark Holdings, Inc.
NYSE:CNO|CNO Financial Group, Inc.
NYSE:CNR|Core Natural Resources, Inc.
NYSE:CNS|Cohen & Steers, Inc.
NASDAQ:CNTA|Centessa Pharmaceuticals plc
NYSE:CNX|CNX Resources Corporation
NASDAQ:CNXC|Concentrix Corporation
NASDAQ:COCO|The Vita Coco Company, Inc.
NASDAQ:COGT|Cogent Biosciences, Inc.
NASDAQ:COLB|Columbia Banking System, Inc.
NYSE:COLD|Americold Realty Trust, Inc.
NASDAQ:COLM|Columbia Sportswear Company
NYSE:COMP|Compass, Inc.
NYSE:CON|Concentra Group Holdings Parent, Inc.
NASDAQ:CORT|Corcept Therapeutics Incorporated
NASDAQ:CORZ|Core Scientific, Inc.
NYSE:COTY|Coty Inc.
NYSE:CPA|Copa Holdings, S.A.
NASDAQ:CPB|The Campbell's Company
NYSE:CPRI|Capri Holdings Limited
NASDAQ:CPRX|Catalyst Pharmaceuticals, Inc.
NYSE:CRC|California Resources Corporation
NYSE:CRGY|Crescent Energy Company
NYSE:CRK|Comstock Resources, Inc.
NYSE:CRL|Charles River Laboratories International, Inc.
NASDAQ:CRNX|Crinetics Pharmaceuticals, Inc.
NASDAQ:CROX|Crocs, Inc.
NASDAQ:CRSP|CRISPR Therapeutics AG
NASDAQ:CRUS|Cirrus Logic, Inc.
NYSE:CSAN|Cosan S.A.
NASDAQ:CSGS|CSG Systems International, Inc.
NYSE:CSTM|Constellium SE
NYSE:CTRE|CareTrust REIT, Inc.
NYSE:CTRI|Centuri Holdings, Inc.
NYSE:CUBE|CubeSmart
NYSE:CUBI|Customers Bancorp, Inc.
NYSE:CURB|Curbline Properties Corp.
NYSE:CUZ|Cousins Properties Incorporated
NASDAQ:CVBF|CVB Financial Corp.
NYSE:CVI|CVR Energy, Inc.
NASDAQ:CVLT|Commvault Systems, Inc.
NYSE:CWAN|Clearwater Analytics Holdings, Inc.
NYSE:CWEN|Clearway Energy, Inc.
NYSE:CWK|Cushman & Wakefield Limited
NASDAQ:CWST|Casella Waste Systems, Inc.
NYSE:CWT|California Water Service Group
