AMEX:AMBO|Ambow Education Holding Ltd.
AMEX:APT|Alpha Pro Tech, Ltd.
AMEX:AREN|The Arena Group Holdings, Inc.
AMEX:ASM|Avino Silver & Gold Mines Ltd.
AMEX:AWX|Avalon Holdings Corporation
AMEX:AXIL|AXIL Brands, Inc.
AMEX:BDL|Flanigan's Enterprises, Inc.
AMEX:BHB|Bar Harbor Bankshares
AMEX:BKTI|BK Technologies Corporation
AMEX:BRBS|Blue Ridge Bankshares, Inc.
AMEX:BTG|B2Gold Corp.
AMEX:BUDA|Buda Juice, Inc.
AMEX:CET|Central Securities Corporation
AMEX:CIX|CompX International Inc.
AMEX:CKX|CKX Lands, Inc.
AMEX:CMT|Core Molding Technologies, Inc.
AMEX:COHN|Cohen & Company Inc.
NASDAQ:A|Agilent Technologies, Inc.
NASDAQ:AA|Alcoa Corporation
NASDAQ:AACB|Artius II Acquisition Inc.
NASDAQ:AAL|American Airlines Group Inc.
NASDAQ:AAME|Atlantic American Corporation
NASDAQ:AAMI|Acadian Asset Management Inc.
NASDAQ:AAON|AAON, Inc.
NASDAQ:AAP|Advance Auto Parts, Inc.
NASDAQ:AAPL|Apple Inc.
NASDAQ:AAT|American Assets Trust, Inc.
NASDAQ:ABBV|AbbVie Inc.
NASDAQ:ABCB|Ameris Bancorp
NASDAQ:ABG|Asbury Automotive Group, Inc.
NASDAQ:ABM|ABM Industries Incorporated
NASDAQ:ABNB|Airbnb, Inc.
NASDAQ:ABR|Arbor Realty Trust, Inc.
NASDAQ:ABT|Abbott Laboratories
NASDAQ:ABUS|Arbutus Biopharma Corporation
NASDAQ:ABX|Abacus Global Management, Inc.
NASDAQ:ACA|Arcosa, Inc.
NASDAQ:ACAD|ACADIA Pharmaceuticals Inc.
NASDAQ:ACCO|ACCO Brands Corporation
NASDAQ:ACEL|Accel Entertainment, Inc.
NASDAQ:ACI|Albertsons Companies, Inc.
NASDAQ:ACIW|ACI Worldwide, Inc.
NASDAQ:ACLS|Axcelis Technologies, Inc.
NASDAQ:ACM|AECOM
NASDAQ:ACMR|ACM Research, Inc.
NASDAQ:ACR|ACRES Commercial Realty Corp.
NASDAQ:ACT|Enact Holdings, Inc.
NASDAQ:AD|Array Digital Infrastructure, Inc.
NASDAQ:ADAM|Adamas Trust, Inc.
NASDAQ:ADBE|Adobe Inc.
NASDAQ:ADC|Agree Realty Corporation
NASDAQ:ADEA|Adeia Inc.
NASDAQ:ADI|Analog Devices, Inc.
NASDAQ:ADM|Archer-Daniels-Midland Company
NASDAQ:ADMA|ADMA Biologics, Inc.
NASDAQ:ADP|Automatic Data Processing, Inc.
NASDAQ:ADSK|Autodesk, Inc.
NASDAQ:ADT|ADT Inc.
NASDAQ:ADUS|Addus HomeCare Corporation
NASDAQ:AEE|Ameren Corporation
NASDAQ:AEIS|Advanced Energy Industries, Inc.
NASDAQ:AEM|Agnico Eagle Mines Limited
NASDAQ:AEO|American Eagle Outfitters, Inc.
NASDAQ:AEP|American Electric Power Company, Inc.
NASDAQ:AES|The AES Corporation
NASDAQ:AFG|American Financial Group, Inc.
NASDAQ:AFJK|Aimei Health Technology Co., Ltd
NASDAQ:AFL|Aflac Incorporated
