yahooTicker,symbol,companyName,tf,entry_date,exit_date,entry_price,exit_price,entry_rr,pnl_usd,pnl_r,pnl_pct,hold_periods,win,trailingPE,forwardPE,trailingEps,forwardEps,marketCap,pe_bucket,trailing_eps_bucket,forward_eps_bucket,fund_reason,pass_F1,pass_F2,pass_F3,pass_F4,pass_F5,source
AMBO,AMEX:AMBO,Ambow Education Holding Ltd.,Daily,2024-07-25,2024-07-26,1.2899999618530273,1.25,4.93963492098033,-151.9886274265211,-1.519886274265211,-3.1007723283626447,1.0,0,3.5172415,,0.58,,5835057.0,"(0,15]",>0,missing,OK,1,1,0,0,1,ledger
AMBO,AMEX:AMBO,Ambow Education Holding Ltd.,Daily,2024-10-15,2024-10-24,1.9900000095367432,1.7599999904632568,5.125240676413955,-47.72491658612184,-0.4772491658612184,-11.557789847801487,7.0,0,3.5172415,,0.58,,5835057.0,"(0,15]",>0,missing,OK,1,1,0,0,1,ledger
AMBO,AMEX:AMBO,Ambow Education Holding Ltd.,Daily,2025-01-24,2025-08-21,2.3239998817443848,3.380000114440918,4.365359934701041,142.89586687271543,1.4289586687271543,45.43891077584323,144.0,1,3.5172415,,0.58,,5835057.0,"(0,15]",>0,missing,OK,1,1,0,0,1,ledger
AMBO,AMEX:AMBO,Ambow Education Holding Ltd.,Daily,2025-10-15,2025-10-16,5.079999923706055,4.0,2.9298262638701127,-189.47377226914375,-1.8947377226914377,-21.259841337126502,1.0,0,3.5172415,,0.58,,5835057.0,"(0,15]",>0,missing,OK,1,1,0,0,1,ledger
AMBO,AMEX:AMBO,Ambow Education Holding Ltd.,Daily,2026-03-25,2026-06-03,1.940000057220459,2.2799999713897705,1.636362946723208,154.5453954334178,1.5454539543341783,17.525768254690025,48.0,1,3.5172415,,0.58,,5835057.0,"(0,15]",>0,missing,OK,1,1,0,0,1,ledger
AMBO,AMEX:AMBO,Ambow Education Holding Ltd.,Weekly,2021-01-01,2021-02-26,21.700000762939453,24.100000381469727,6.1525144138182455,34.66204566388388,0.34662045663883884,11.05990568732668,8.0,1,3.5172415,,0.58,,5835057.0,"(0,15]",>0,missing,OK,1,1,0,0,1,ledger
AMBO,AMEX:AMBO,Ambow Education Holding Ltd.,Weekly,2026-03-20,2026-07-03,2.0299999713897705,2.2100000381469727,6.823281341790127,26.020997660608636,0.26020997660608636,8.866998487392648,15.0,1,3.5172415,,0.58,,5835057.0,"(0,15]",>0,missing,OK,1,1,0,0,1,ledger
APT,AMEX:APT,"Alpha Pro Tech, Ltd.",Daily,2025-02-06,2025-02-24,5.460000038146973,5.25,2.3600006103515625,-84.00001525878906,-0.8400001525878906,-3.8461545179447096,11.0,0,14.558823,4.2672415,0.34,1.16,50573812.0,"(0,15]",>0,>0,OK,1,1,1,1,1,ledger
APT,AMEX:APT,"Alpha Pro Tech, Ltd.",Daily,2025-06-11,2025-06-17,4.699999809265137,4.539999961853027,1.8400001525878906,-63.99993896484375,-0.6399993896484375,-3.404252210749046,4.0,0,14.558823,4.2672415,0.34,1.16,50573812.0,"(0,15]",>0,>0,OK,1,1,1,1,1,ledger
APT,AMEX:APT,"Alpha Pro Tech, Ltd.",Daily,2026-05-18,2026-05-27,6.199999809265137,5.820000171661377,1.756757557871295,-51.351318261837804,-0.5135131826183781,-6.129026601515327,6.0,0,14.558823,4.2672415,0.34,1.16,50573812.0,"(0,15]",>0,>0,OK,1,1,1,1,1,ledger
