yahoo,tv,name,exchange,epsTtm,peTtm,growth5y,rule,pegLynch,pass
AAV.TO,TSX:AAV,Advantage Energy Ltd.,TSX,0.32,21.7494,27.0762,lynch_peg,0.803268,true
ABX.TO,TSX:ABX,Barrick Gold Corporation,TSX,2.98,10.6278,17.8661,lynch_peg,0.594857,true
AC.TO,TSX:AC,Air Canada,TSX,2.07,11.5627,-15.0553,pe15,-0.768019,true
ACO-X.TO,TSX:ACO-X,ATCO Ltd.,TSX,1.34,47.1358,-20.9462,pe15,-2.25033,false
ACX.TO,TSX:ACX,ACT Energy Technologies Ltd.,TSX,0.46,8.83421,-15.7786,pe15,-0.559885,true
ADEN.TO,TSX:ADEN,ADENTRA Inc,TSX,2.83,9.91414,9.71684,pe15,1.02031,true
AGF-B.TO,TSX:AGF-B,AGF Management Limited,TSX,1.99,10.8832,-2.426,pe15,-4.48606,true
AI.TO,TSX:AI,Atrium Mortgage Investment Corporation,TSX,1.03,11.9596,2.06359,pe15,5.79552,true
ALA.TO,TSX:ALA,AltaGas Ltd.,TSX,2.48,27.0226,7.34467,pe15,3.67922,false
ALS.TO,TSX:ALS,Altius Minerals Corporation,TSX,6.45,9.75499,58.2933,lynch_peg,0.167343,true
ANRG.TO,TSX:ANRG,Anaergia Inc.,TSX,0.0409,26.5193,-19.4735,pe15,-1.36181,false
APM.TO,TSX:APM,Andean Precious Metals Corp.,TSX,0.79,4.26843,10.0237,pe15,0.425834,true
APTX.TO,TSX:APTX,Apotex Health Corp.,TSX,1.61,22.0807,,,,false
ARE.TO,TSX:ARE,Aecon Group Inc.,TSX,0.24,-51.0879,-30.4049,pe15,1.68025,false
ARG.TO,TSX:ARG,Amerigo Resources Ltd.,TSX,0.22,15.5253,45.7054,lynch_peg,0.339682,true
ARX.TO,TSX:ARX,ARC Resources Ltd.,TSX,2.19,13.3158,20.3172,lynch_peg,0.655396,true
ATD.TO,TSX:ATD,Alimentation Couche-Tard Inc.,TSX,3.37,19.8079,6.58418,pe15,3.0084,false
ATH.TO,TSX:ATH,Athabasca Oil Corporation,TSX,0.49,22.3046,5.76809,pe15,3.86689,false
ATRL.TO,TSX:ATRL,AtkinsRéalis Group Inc.,TSX,15.48,33.4466,42.229,lynch_peg,0.792028,true
ATZ.TO,TSX:ATZ,Aritzia Inc.,TSX,3.32,34.9194,79.132,lynch_peg,0.44128,true
BBD-B.TO,TSX:BBD-B,Bombardier Inc.,TSX,9.09,25.8757,19.9114,lynch_peg,1.29954,false
BDGI.TO,TSX:BDGI,Badger Infrastructure Solutions Ltd.,TSX,1.78,30.0373,20.18,lynch_peg,1.48847,false
BDI.TO,TSX:BDI,Black Diamond Group Limited,TSX,0.55,54.5944,11.9628,pe15,4.56369,false
BDT.TO,TSX:BDT,Bird Construction Inc.,TSX,0.86,79.8667,1.45692,pe15,54.8187,false
BIR.TO,TSX:BIR,Birchcliff Energy Ltd.,TSX,0.24,26.2475,-5.99646,pe15,-4.37716,false
BNT.TO,TSX:BNT,Brookfield Wealth Solutions Ltd.,TSX,2.75,8.19478,116.512,lynch_peg,0.0703345,true
CAS.TO,TSX:CAS,Cascades Inc.,TSX,0.69,13.9841,-19.6481,pe15,-0.711731,true
CCA.TO,TSX:CCA,Cogeco Communications Inc.,TSX,7.66,-2.29928,-0.207578,pe15,11.0767,false
CCL-B.TO,TSX:CCL-B,CCL Industries Inc.,TSX,4.59,20.9107,9.17022,pe15,2.28028,false
CEU.TO,TSX:CEU,CES Energy Solutions Corp.,TSX,0.93,20.4839,42.7299,lynch_peg,0.47938,true
CFW.TO,TSX:CFW,Calfrac Well Services Ltd.,TSX,0.34,11.3008,7.98706,pe15,1.41489,true
CGG.TO,TSX:CGG,China Gold International Resources Corp. Ltd.,TSX,1.18,17.7588,33.3352,lynch_peg,0.532736,true
CIA.TO,TSX:CIA,Champion Iron Limited,TSX,0.32,16.9618,-19.892,pe15,-0.852691,false
CJ.TO,TSX:CJ,Cardinal Energy Ltd.,TSX,0.13,32.3899,-18.1894,pe15,-1.78071,false
CJT.TO,TSX:CJT,Cargojet Inc.,TSX,5.24,29.644,35.1467,lynch_peg,0.843436,true
CMG.TO,TSX:CMG,Computer Modelling Group Ltd.,TSX,0.21,21.1029,-3.42697,pe15,-6.15788,false
CPKR.TO,TSX:CPKR,Canada Packers Inc.,TSX,3.58,7.93056,,,,false
CPX.TO,TSX:CPX,Capital Power Corporation,TSX,0.88,124.289,2.47608,pe15,50.1961,false
CS.TO,TSX:CS,Capstone Copper Corp.,TSX,0.42,18.0106,69.5218,lynch_peg,0.259064,true
CSU.TO,TSX:CSU,Constellation Software Inc.,TSX,24.58,50.8829,3.62619,pe15,14.0321,false
CTC-A.TO,TSX:CTC-A,"Canadian Tire Corporation, Limited",TSX,10.66,17.8839,-2.90026,pe15,-6.16631,false
CU.TO,TSX:CU,Canadian Utilities Limited,TSX,0.15,332.625,-35.2703,pe15,-9.43073,false
DBM.TO,TSX:DBM,Doman Building Materials Group Ltd.,TSX,0.92,11.732,3.62378,pe15,3.23749,true
DC-A.TO,TSX:DC-A,Dundee Corporation,TSX,3.57,1.45586,121.166,lynch_peg,0.0120154,true
DFY.TO,TSX:DFY,Definity Financial Corporation,TSX,3.57,20.1825,21.6502,lynch_peg,0.932211,true
DIV.TO,TSX:DIV,Diversified Royalty Corp.,TSX,0.22,23.1071,9.16411,pe15,2.52148,false
DNG.TO,TSX:DNG,Dynacor Group Inc.,TSX,0.52,8.48119,36.4338,lynch_peg,0.232783,true
DOL.TO,TSX:DOL,Dollarama Inc.,TSX,4.75,39.3873,21.1503,lynch_peg,1.86226,false
DPM.TO,TSX:DPM,DPM Metals Inc.,TSX,1.99,14.8097,13.0019,pe15,1.13904,true
DRX.TO,TSX:DRX,ADF Group Inc.,TSX,0.93,13.2989,34.6644,lynch_peg,0.383648,true
DSV.TO,TSX:DSV,Discovery Silver Corp.,TSX,0.22,28.0445,,,,false
EDV.TO,TSX:EDV,Endeavour Mining plc,TSX,2.85,16.0133,23.8009,lynch_peg,0.672802,true
EFN.TO,TSX:EFN,Element Fleet Management Corp.,TSX,0.71,28.4986,10.0427,pe15,2.83775,false
EIF.TO,TSX:EIF,Exchange Income Corporation,TSX,3.2,35.5013,31.9508,lynch_peg,1.11113,false
EMP-A.TO,TSX:EMP-A,Empire Company Limited,TSX,0.87,58.3529,-19.7258,pe15,-2.9582,false
ENGH.TO,TSX:ENGH,Enghouse Systems Limited,TSX,1.34,13.1374,-5.62644,pe15,-2.33494,true
EQB.TO,TSX:EQB,EQB Inc.,TSX,6.7,27.4283,0.546149,pe15,50.2213,false
EXE.TO,TSX:EXE,Extendicare Inc.,TSX,1.13,24.3712,13.4973,pe15,1.80564,false
FAR.TO,TSX:FAR,Foraco International S.A.,TSX,0.16,16.2013,13.4055,pe15,1.20855,false
FC.TO,TSX:FC,Firm Capital Mortgage Investment Corporation,TSX,1.02,12.2245,2.30851,pe15,5.2954,true
FFH.TO,TSX:FFH,Fairfax Financial Holdings Limited,TSX,230.07,7.85207,192.205,lynch_peg,0.0408526,true
FRU.TO,TSX:FRU,Freehold Royalties Ltd.,TSX,0.56,20.1776,52.9158,lynch_peg,0.381315,true
FSZ.TO,TSX:FSZ,Fiera Capital Corporation,TSX,0.36,25.655,-15.6158,pe15,-1.64289,false
FTG.TO,TSX:FTG,Firan Technology Group Corporation,TSX,0.52,41.1,53.7114,lynch_peg,0.7652,true
FTT.TO,TSX:FTT,Finning International Inc.,TSX,3.8,22.75,21.5877,lynch_peg,1.05384,false
GEI.TO,TSX:GEI,Gibson Energy Inc.,TSX,1.21,31.6898,7.83046,pe15,4.04699,false
GGD.TO,TSX:GGD,GoGold Resources Inc.,TSX,0.0485,25.1456,-25.4059,pe15,-0.989753,false
GIB-A.TO,TSX:GIB-A,CGI Inc.,TSX,7.45,12.762,11.7753,pe15,1.0838,true
GMIN.TO,TSX:GMIN,G Mining Ventures Corp.,TSX,1.3,23.6136,,,,false
GRGD.TO,TSX:GRGD,Groupe Dynamite Inc.,TSX,2.33,25.9724,23.242,lynch_peg,1.11748,false
GWO.TO,TSX:GWO,Great-West Lifeco Inc.,TSX,4.29,18.709,6.23793,pe15,2.99923,false
H.TO,TSX:H,Hydro One Limited,TSX,2.23,24.7031,-5.50635,pe15,-4.48629,false
HAI.TO,TSX:HAI,Haivision Systems Inc.,TSX,0.0041,82.9044,-56.049,pe15,-1.47914,false
HPS-A.TO,TSX:HPS-A,Hammond Power Solutions Inc.,TSX,6.07,51.4507,38.2934,lynch_peg,1.34359,false
HWX.TO,TSX:HWX,Headwater Exploration Inc.,TSX,0.64,16.9872,67.8058,lynch_peg,0.250527,true
IAG.TO,TSX:IAG,iA Financial Corporation Inc.,TSX,11.32,17.6011,14.668,pe15,1.19997,false
IFA.TO,TSX:IFA,iFabric Corp.,TSX,0.0518,40.7733,5.63153,pe15,7.24018,false
IFC.TO,TSX:IFC,Intact Financial Corporation,TSX,18.39,15.0674,20.6285,lynch_peg,0.730419,true
IGM.TO,TSX:IGM,IGM Financial Inc.,TSX,4.66,17.992,7.7398,pe15,2.3246,false
